"","adm2_code","mean","date"
"215","77317",36.0165244882261,2025-01-29
"216","77364",37.1928317074254,2025-01-30
"217","77317",32.2768423707307,2025-01-30
"218","77364",34.5572011641745,2025-01-31
"219","77317",35.364257812024,2025-01-31
"220","77364",31.6923134419307,2025-02-01
"221","77317",32.5354356727585,2025-02-01
"222","77364",39.0389670182015,2025-02-02
"223","77317",35.8719125808996,2025-02-02
"224","77317",36.7936813220594,2025-02-03
"225","77364",37.6856899503282,2025-02-04
"226","77317",35.7306350872012,2025-02-04
"227","77317",33.1886543146682,2025-02-05
"228","77364",32.5152017159236,2025-02-06
"229","77317",33.7891322908355,2025-02-06
"230","77364",33.3663801242298,2025-02-07
"231","77317",39.6566837799389,2025-02-07
"232","77364",33.0944524424032,2025-02-08
"233","77317",36.8258396818375,2025-02-08
"234","77364",35.4075966841683,2025-02-09
"235","77317",30.7286428707773,2025-02-09
"236","77317",33.9022459347735,2025-02-10
"237","77364",30.1995928397617,2025-02-11
"238","77317",37.805865557515,2025-02-11
"239","77364",31.6246944620382,2025-02-12
"240","77317",37.314646523756,2025-02-12
"241","77317",31.9291426063379,2025-02-13
"242","77364",30.4072799350092,2025-02-14
"243","77317",32.0499851698576,2025-02-14
"244","77317",36.7444724265945,2025-02-15
"245","77317",32.9501503328034,2025-02-16
"246","77317",36.0781989828896,2025-02-17
"247","77317",33.8033480249958,2025-02-18
"248","77317",27.8560362750553,2025-02-19
"249","77317",40.3988379495623,2025-02-20
"250","77364",28.4513081725714,2025-02-21
"251","77317",31.1914463492781,2025-02-21
"252","77364",30.4007336835965,2025-02-22
"253","77317",36.3014553260524,2025-02-22
"254","77317",32.6555905807666,2025-02-23
"255","77364",33.2644726751812,2025-02-24
"256","77317",31.7713080864604,2025-02-24
"257","77364",33.8394851565276,2025-02-25
"258","77317",35.085412861638,2025-02-25
"259","77364",31.8876068121601,2025-02-26
"260","77317",35.1818868436603,2025-02-26
"261","77364",29.4896657881815,2025-02-27
"262","77317",33.5779288595879,2025-02-27
"263","77317",17.0319432132521,2024-10-01
"264","77364",25.6320819338623,2024-10-02
"265","77317",11.2754878562046,2024-10-02
"266","77364",26.9127221987692,2024-10-03
"267","77317",24.1069037487355,2024-10-03
"268","77364",25.9611306979211,2024-10-04
"269","77317",24.8785354016432,2024-10-04
"270","77364",32.2643784515256,2024-10-05
"271","77317",27.0873163335211,2024-10-05
"272","77364",27.9334140918133,2024-10-06
"273","77317",27.9042449038652,2024-10-06
"274","77364",30.9293618590951,2024-10-07
"275","77317",25.3691677642584,2024-10-07
"276","77364",30.8576822623795,2024-10-08
"277","77317",20.2625778376501,2024-10-08
"278","77364",30.9743759112322,2024-10-09
